dataSet,Input,instructionCount,ilp32,ilp256,ilp2048,ilp65536,memops,ctrlops,intops,flops,coldref,coldref fraction,reuseDist2,resuseDist2 fraction,sfp,dfp,noconflict,broadCast,coalesced,shMemBw,gMemBw,blocks,pages,lipRate,mulf,divf,specialFn,lbdiv16,lbdiv32,lbdiv64,lbdiv128,lbdiv256,lbdiv512,lbdiv1024,probsize,Class,CPU Time,GPU Time
mri_q_4096: 109-126,4096,6861885858,3.368423956,4.571487194,4.571975539,4.589344504,0.7187498864,0.0625001976,0.6250000077,0.4374997122,41020,8.317146999E-06,2465990245,0.500000082,0.3214285714,0.0357142857,0.1786797238,0.8213202762,1,0.1786797238,1,96709.5756,3077600.303,0.7361249625,0.2083333333,0,0.0833333333,0,0,0,0,0,0,0,37,1,90.492458,42.838692
mri_q_2048: 109-126,2048,3422554323,2.560001621,2.560036387,2.560309862,2.570036509,0.7187498864,0.0625001978,0.6250000079,0.4374997112,40994,1.666449501E-05,1443889969,0.5869565592,0.3214285714,0.0357142857,0.1786797238,0.8213202762,1,0.1786797238,1,48265.97709,1535037.805,0.9990251163,0.2083333333,0,0.0833333333,0,0,0,0,0,0,0,18,1,58.322646,21.415719
mri_q_:_1024 109-126,1024,1677722715,2.560001621,2.560036387,2.560309862,2.570036509,0.7187498865,0.0625001981,0.6250000084,0.4374997092,40981,3.398478901E-05,707789201,0.5869565569,0.3214285714,0.0357142857,0.1786797238,0.8213202762,1,0.1786797238,1,23667.29791,753053.729,0.9990251163,0.2083333333,0,0.0833333333,0,0,0,0,0,0,0,9,1,29.71734,11.070811
randomsky_30000000: 26-36,30000000,42000012,4.238095238,11.60869565,534,534,0.6190476327,0.1190476327,0.5714285986,0.5238093741,5,1.923076331E-07,12000001,0.461538358,0.0909090909,0.2272727273,0.1111124445,0.8888875555,1,0.1111124445,1,271.9739545,8686.767501,0.0079365079,0,0.1333333333,0.2,0,0,0,0,0,0,0,78651,1,10.823398,0.467086
randomsky_20000000: 26-36,20000000,42000012,4.238095238,11.60869565,534,534,0.6190476327,0.1190476327,0.5714285986,0.5238093741,4,1.538461065E-07,12000002,0.4615383964,0.0909090909,0.2272727273,0.1111124445,0.8888875555,1,0.1111124445,1,271.9696034,8686.767501,0.0079365079,0,0.1333333333,0.2,0,0,0,0,0,0,0,78651,1,7.468459,0.39032
randomsky_10000000: 26-36,10000000,42000012,4.204724409,14.83333333,534,534,0.6190476327,0.1190476327,0.5714285986,0.5238093741,4,1.538461065E-07,12000002,0.4615383964,0.0909090909,0.2272727273,0.1111124445,0.8888875555,1,0.1111124445,1,271.9739545,8686.767501,0.0078740157,0,0.1333333333,0.2,0,0,0,0,0,0,0,78651,1,3.575326,0.205593
syr2k_1024: 54-65,1024,5028127852,6.714552629,11.75544765,11.78282115,12.84588177,0.808454449,0.0426257471,0.7872039543,0.2127128728,68806,1.692639391E-05,1283770777,0.3158098112,0.6,0,0.0571282265,0.9428717735,1,0.0571282265,1,54412.97228,1737326.669,0.5592090746,0.4,0,0,0,0,0,0,0,0,0,9,1,5.980136,4.136297
syr2k_512: 54-65,512,616346160,6.714815267,11.76091109,11.81590249,14.16624099,0.8083981703,0.0426984116,0.7871738115,0.2126597171,17190,3.450053742E-05,288486600,0.5789960872,0.6,0,0.0571241129,0.9428758871,1,0.0571241129,1,26696.15469,846642.441,0.5469597082,0.4,0,0,0,0,0,0,0,0,0,4,1,0.923785,0.584735
PI:999999999: 24-33,999999999,1999999988,2.25,18,288,288,0.7000000002,0.1000000006,0.5499999998,0.1499999994,3,2.142857155E-09,899999994,0.6428571422,0,1,0,1,1,0,1,366666664.3,366666664.3,0.0078125,0,0,0,0,0,0,0,0,0,0,6944444,1,41.464354,6.140795
PI:800000000: 24-33,800000000,1600000008,2.25,18,288,288,0.7000000003,0.1000000008,0.5499999998,0.1499999993,3,2.678571414E-09,720000003,0.642857142,0,1,0,1,1,0,1,293333334.7,293333334.7,0.0078125,0,0,0,0.00000001,0.00000002,0.00000004,0.00000008,0.00000016,0.00000032,0.00000064,5555555,1,14.795951,2.28441
PI:450000000: 24-33,450000000,900000008,2.25,18,288,288,0.7000000004,0.1000000013,0.5499999996,0.1499999987,3,4.761904717E-09,405000003,0.6428571415,0,1,0,1,1,0,1,165000001.3,165000001.3,0.0078125,0,0,0,1.78E-08,3.56E-08,7.11E-08,0,0,0,0,3125000,1,3.27867,0.508241
 FDTD-2D:8: 66-105,524288,7147561679,4.798247972,13.4895615,29.03866783,450.360961,0.6342798046,0.0474360199,0.8051580342,0.1920032858,1742,3.84246E-07,1984976509,0.4378411502,0.1931540342,0.2298288509,0.2136299082,0.6887244214,0.9023543296,0.2136299082,0.9511771648,2413644.27,70076138.65,0.0351941437,0,0,0,0.0000224,0.0000447,0.0000456,0.0000456,0.0000455,0.0000452,0.0000457,4765,1,6.846823,1.110576
FDTD-2D:4: 66-105,262144,3573780845,4.798247972,13.4895615,29.03866783,450.360961,0.6342798049,0.0474360201,0.805158034,0.1920032855,923,4.071860589E-07,992488255,0.4378411496,0.1931540342,0.2298288509,0.2136299082,0.6887244214,0.9023543296,0.2136299082,0.9511771648,2277664.313,61831887.09,0.0351941437,0,0,0,0.0000447,0.0000894,0.0000913,0.0000912,0.0000909,0.0000904,0.0000914,2382,1,3.393698,0.679828
FDTD-2D:2: 66-105,131072,1786890428,4.798247972,13.4895615,29.03866783,450.360961,0.6342798054,0.0474360205,0.8051580335,0.1920032849,513,4.526250215E-07,496244128,0.4378411483,0.1931540342,0.2298288509,0.2136299082,0.6887244214,0.9023543296,0.2136299082,0.9511771648,2049009.906,50054384.86,0.0351941437,0,0,0,0.0000895,0.0001788929,0.0001825462,0.0001823031,0.0001818263,0.0001808785,0.0001827946,1191,1,1.700946,0.44167
min_max_avg_262144: 26-37,262144,103077930603,5.000009248,5.000289008,5.002572765,5.084707627,0.7999992879,0.1333339776,0.7333330621,0.0666664802,32772,48103004569,0,1,0,0.65,0.65,0.175,0.825,2096867.235,66846822,0.995840718,0,0,0,0,0,0,0,0,0,0,2383,0,2383,1,169.931417,119.958813
Collinear_List:2048: 51-82,1024,44640612341,4.530365063,16.88366879,107.9614443,3282.886869,0.7486614288,0.1500351101,0.8321178658,0,131,3.919725856E-09,23021410177,0.6888367687,0,0,0,1,1,0,1,211889124.7,3655087400,0.0054091593,0,0,0,0.0043405792,0.0064857662,0.0085891109,0.009719428,0.0101654634,0.011005039,0.0126842334,18,0,46.413496,59.670559
collinear_list:1024: 51-82,1024,5581059077,4.530232472,16.87760698,107.8784531,3241.788036,0.7486327939,0.1500692536,0.8320864753,0,67,0.000000016,2882436659,0.6898811925,0,0,0,1,1,0,1,51486641.56,731110310.2,0.0054372975,0,0,0,0.0085488176,0.0127352115,0.0167570203,0.0185958798,0.0186461069,0.0186461069,0.0186461069,9,0,5.683282,7.321646
collinear_list:512: 51-82,512,696079958,4.52968622,16.87030809,107.7982863,3182.842296,0.7485057155,0.1502042816,0.831920726,0,36,6.909525921E-08,360245850,0.6914244551,0,0,0,0.9999919993,1,0,1,12657917.53,113921257.8,0.0055123773,0,0,0,0.0083338932,0.0125144244,0.0167261704,0.0184284116,0.0184284116,0.0184284116,0.0370370325,4,0,0.773513,1.159012
syrk_m_512: 61-73,512,361495150,6.749858999,9.125887092,10.49581491,18.33941451,0.6666424515,0.0742564375,0.666642587,0.1851340357,9011,3.739190131E-05,133876379,0.5555312786,0.5996878658,0,0.0629692594,0.9370307406,1,0.0629692594,1,23767.71535,754122.8275,0.4790339056,0.3999219664,0,0,0.0011557333,0.0023114667,0.0046229334,0.0092458668,0.0184917336,0.0369834671,0.0370557005,4,0,0.240601,0.352954
reduction_100000: 13-21,100000,12000110007,4.000041818,4.000787417,4.006773177,4.230995793,0.6666655556,0.1666684723,0.8333315276,0,2,2.499981249E-10,6000040001,0.7499993747,0,0,0,1,1,0,1,3000020002,3000020002,0.9863736777,0,0,0,0,0,0,0,0,0,0,909,0,16.071997,13.704642
min_max_red:32768: 27-40,32768,2146995405,2.857218727,2.857305925,2.858018432,2.883417253,0.8499948881,0.1000044255,0.7499980919,0.0499991606,4100,2.246655214E-06,1073492785,0.5882361372,0,1,0,0.7261901428,0.7261901428,0.1369049286,0.8630950714,366557.2339,11385489.84,0.997731391,0,0,0,0,0,0,0,0,0,0,297,0,2.773428,4.125899
